nama_destinasi,lokasi,kategori_utama,jenis_wisata
Puncak Tetetana Suluan,"Suluan, Tombulu, Minahasa, Sulawesi Utara",Pegunungan,bukit
Air Terjun Kima Atas,"Kima Atas, Mapanget, Manado, Sulawesi Utara",Air terjun,air terjun
Pantai Sarena,"Sea, Malalayang, Tandurusa, Manado, Sulawesi Utara",Lautan,pantai
Pantai Bulo,"Kalasey Satu, Pineleng, Minahasa, Sulawesi Utara",Lautan,pantai
Aer Konde Ratahan,"Wawali Pasan, Ratahan, Minahasa Tenggara, Sulawesi Utara",Mata air,mata air
Taman Hutan Raya Gunung Tumpa H. V. Worang,"Tongkeina, Bunaken, Manado, Sulawesi Utara",Taman,taman hutan
Taman Purbakala Waruga,"Sawangan, Airmadidi, Minahasa Utara, Sulawesi Utara",Taman,taman sejarah
Kawah Gunung Lokon,"Agotey, Mandolang, Minahasa, Sulawesi Utara",Pegunungan,kawah
Pantai Abadi,"Nuangan, Nuangan, Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pantai
Pantai Batuangus,"Kasawari, Aertembaga, Bitung, Sulawesi Utara",Lautan,pantai
Bukit Kasih Kanonang,"Kanonang Empat, Kawangkoan Bar., Minahasa, Sulawesi Utara",Pegunungan,bukit
Pantai Batu Pinagut,"Kuala, Kaidipang, Bolaang Mongondow Utara, Sulawesi Utara",Lautan,pantai
Tetetana Kumelembuai,"Kumelembuay, Tomohon Tim., Minahasa, Sulawesi Utara",Pegunungan,bukit
Taman Wisata Puncak Rurukan Tomohon,"Rurukan Satu, Tomohon Tim., Tomohon, Sulawesi Utara",Pegunungan,bukit
Pantai Jiko / Patokan,"Nuangan, Nuangan, Bolaang Mongondow Timur, Sulawesi Utara",Lautan,pantai
Air Terjun Tumimperas,"Pinaras, Tomohon Sel., Tomohon, Sulawesi Utara",Air terjun,air terjun
Puncak Temboan Rurukan,"Masarang, Tondano Bar., Minahasa, Sulawesi Utara",Pegunungan,bukit
Kawasan Ekonomi Khusus Likupang,"Pulisan, Likupang Tim., Minahasa Utara, Sulawesi Utara",Lautan,pantai
Rumah Alam Manado Adventure Park,"Maumbi, Kalawat, Minahasa Utara, Sulawesi Utara",Taman,taman alam
