nama_destinasi,lokasi,kategori_utama,jenis_wisata,deskripsi_singkat,aktivitas,harga_tiket,fasilitas,aksesibilitas,rating,keywords,jam_operasional
puncak tetetana suluan,"suluan, tombulu, minahasa, sulawesi utara",pegunungan,bukit,"puncak bukit dengan udara segar dan banyak bunga, cocok untuk berfoto dan bersantai.","fotografi, piknik, jalan santai",25000,"toilet, parkir, tempat makan",Mudah - bisa diakses kendaraan roda dua & empa,4.6,"pemandangan, sejuk, bukit",08.00-18.00
air terjun kima atas,"kima atas, mapanget, manado, sulawesi utara",air terjun,air terjun,"air terjun kima atas merupakan satu-satunya air terjun yang ada di kota manado, sulawesi utara.","bermain air, mandi, trekking ringan",0,"toilet, warung, tempat ganti baju",Mudah - Lokasinya bisa dijangkau kendaraan roda dua/empat,4.0,"segar, curug, suara air",09.00-17.00
pantai sarena,"sea, malalayang, tandurusa, manado, sulawesi utara",lautan,pantai,"pantai ini terletak di pulau serena bitung. untuk kesini harus melalui penyeberangan umum di kota bitung, jarak tempuhnya hanya sekira 10 menit.","berenang, bermain pasir, berjemur",0,"gazebo, toilet, bilas, penyewaan ban",Sedang - Harus menggunakan kapal dari pelabuhan/dermaga terdekat,4.1,"pasir putih, laut, ombak",09.00-17.01
pantai bulo,"kalasey satu, pineleng, minahasa, sulawesi utara",lautan,pantai,pantai yang indah. pemandangan sunset yang eksotis.,"berenang, bermain pasir, snorkeling",15000,"toilet, warung, parkir","Mudah - Jalan datar, bisa dijangkau motor/mobil, dekat pemukiman",4.3,"pasir putih, laut, snorkeling, sunset",08.00-18.00
aer konde ratahan,"wawali pasan, ratahan, minahasa tenggara, sulawesi utara",mata air,mata air,"dodoku aer konde, sebuah destinasi wisata alam berupa mata air yg berada di ratahan, ibukota kabupaten minahasa tenggara.","berendam, berenang, foto",5000,"kolam alami, toilet, loker","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.5,"jernih, segar, sumber alami",08.00-18.00
taman hutan raya gunung tumpa h. v. worang,"tongkeina, bunaken, manado, sulawesi utara",taman,taman hutan,taman hutan raya (tahura) gunung tumpa hein victor worang (hv worang) merupakan kawasan konservasi hutan lindung yang juga menjadi salah satu wisata alam yang ada bumi nyiur melambai.,"edukasi alam, foto-foto, piknik",10000,"toilet, tempat duduk, lampu taman",Mudah - bisa dijangkau kendaraan umum,4.5,"hutan, hijau, edukasi, sejarah, segar",07.15-18.00
taman purbakala waruga,"sawangan, airmadidi, minahasa utara, sulawesi utara",taman,taman sejarah,purbakala waruga merupakan taman kebudayaan yang diabadikan sebagai cagar budaya di bawah pengawasan balai pelestarian cagar budaya sulutenggo yang berisi peninggalan dari para pendahulu,"edukasi sejarah, foto-foto, piknik",10000,"toilet, tempat duduk,papan informasi",Mudah - bisa dijangkau kendaraan roda dua / empat,4.6,"hutan, hijau, edukasi, sejarah, segar",08.00-17.00
kawah gunung lokon,"agotey, mandolang, minahasa, sulawesi utara",pegunungan,kawah,"kawah aktif yang terletak di tengah antara gunung lokon dan gunung empung di provinsi sulawesi utara, indonesia.","pendakian, fotografi alam, eksplorasi kawah",0,"pos pendakian, musala, warung, toilet","Sedang - Jalur trekking ringan, hanya bisa dijangkau dengan jalan kaki",4.7,"kawah, jalur hiking, udara dingin",00.00-23.59
pantai abadi,"nuangan, nuangan, bolaang mongondow timur, sulawesi utara",lautan,pantai,pantai berpasir hitam dengan suasana tenang dan ombak yang cocok untuk bersantai di tepi laut.,"berenang, bermain pasir, foto",35000,"dermaga, tempat bilas, toilet, warung/tenda","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.6,"pasir hitam, laut, ombak, terumbu karang",00.00-23.59
pantai batuangus,"kasawari, aertembaga, bitung, sulawesi utara",lautan,pantai,pantai eksotis dengan batuan vulkanik unik dan pemandangan gunung lokon di kejauhan.,"berenang, snorkeling, diving, foto",20000,"penyewaan ban/snorkel, warung, parkir",Sedang - Jalan menuju lokasi yang cuma muat satu mobil dengan track offroad,4.6,"ombak, terumbu karang, snorkeling",00.00-23.59
bukit kasih kanonang,"kanonang empat, kawangkoan bar., minahasa, sulawesi utara",pegunungan,bukit,tempat ziarah dan toleransi beragama dengan lima rumah ibadah dari agama berbeda di satu lokasi.,"foto-foto, piknik, jalan santai, melihat sunrise/sunset",15000,"gardu pandang, tempat duduk, parkir, toilet","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.3,"pemandangan, santai, bukit hijau, sejuk, view spot",08.00-18.00
pantai batu pinagut,"kuala, kaidipang, bolaang mongondow utara, sulawesi utara",lautan,pantai,pantai pasir putih yang cocok untuk bermain air dan menikmati matahari terbenam di bolaang mongondow utara.,"berenang, bermain pasir, foto-foto",20000,"gazebo, toilet, warung, parkir","Mudah - Jalan datar, bisa dijangkau motor/mobil, dekat pemukiman",4.4,"laut, ombak, pemandangan",00.00-23.59
